wetlandtypecode,vyear,grouptypecode,ecramid,cramver,wetlandclass,wetlandsubclass,wetlandtypedisplay,wetlandtyperowid,userid,userid_updatedby,aaname,projectname,assessmentareaid,projectid,visitdate,createdate,lastupdate,practitioners,practitionerother,aacategorydesc,aacomment,legacygid,programcode,centroidlong,centroidlat,aasize_ha,county,ecoregion,aageomcomment,ispublic,isnottest,indexscore,buffer_landscape_cont,hydrology,physical_structure,biotic_structure,bankfulwidth,average_aa_width,length,upstreamlatitude,upstreamlongitude,downstreamlatitude,downstreamlongitude,datum,flowingwater_riverine,hydroregime_riverine,channelform_riverine,tidalstage_riverine,tidalstage_estuarine,mouthcondition,encompass_estuarine,wetlandorigindesc,managetypes,depressionaltypedesc,encompass_depressional,hydrostate_depressional,hydroregime_depressional,connectstreamfloodplain,definedoutlet,definedinlet,inletoutletsamelocation,distincttopobasin,vpcategorydesc,surfacewater,hydrodescription,peatsoils,encompass_slope,hydrostate_slope,hydroregime_slope
dvps,2015,sp,4748,6.1,depressional,vernal pool system,vernal pool system,8,124,,Mariner #2,Vernal Pool Training Rocklin,,,4/3/15,1/13/16 9:23,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,,,,General,-121.38259,38.91135,1.14461,Placer,sacramento valley,,1,1,88,93.29,100,83.33,75,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",medium-duration,0,,,,,natural,,,,,,
divp,2015,sp,4749,6.1,depressional,individual vernal pool,individual vernal pool,6,124,,Mariner #1,Vernal Pool Training Rocklin,,,4/3/15,1/13/16 9:50,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,,,,General,-121.38053,38.9097,1.33181,Placer,sacramento valley,,1,1,86,93.29,100,75,75,,,,,,,,,,,,,,,,,,,,dry,short-duration,0,,,,,natural,,,,,,
dvps,2015,sp,4750,6.1,depressional,vernal pool system,vernal pool system,8,124,,Woodcreek Oaks,Vernal Pool Training Rocklin,,,4/2/15,1/13/16 10:42,54:27.8,Cara Clark (lead practitioner),,,,,General,-121.3504,38.76425,0.66857,Placer,sacramento valley,,1,1,72,79.75,66.67,58.33,83.33,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",short-duration,0,,,,,created - action unknown,,,,,,
dvps,2015,sp,4751,6.1,depressional,vernal pool system,vernal pool system,8,124,,Galleria,Vernal Pool Training Rocklin,,,4/2/15,1/13/16 11:26,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,,,,General,-121.27171,38.77084,0.31657,Placer,sacramento valley,,1,1,67,79.75,66.67,66.67,54.17,,,,,,,,,,,,,,,,,,,,dry,short-duration,1,,,,,natural,,,,,,
dvps,2016,,5613,6.1,depressional,vernal pool system,vernal pool system,8,124,,Roseville Preserve #2,,,,5/9/16,11/27/16 9:12,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,,,,,-121.32104,38.80294,0.10684,Placer,sacramento valley,,1,1,70,60.38,100,66.67,54.17,,,,,,,,,,,,,,,,,,,,,medium-duration,1,,,,,created - action unknown,,,,,,
dvps,2016,,5614,6.1,depressional,vernal pool system,vernal pool system,8,124,,Roseville Preserve #9,,,,5/9/16,11/27/16 9:30,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,other,,,,-121.32044,38.80645,1.07463,Placer,sacramento valley,,1,1,62,57.92,66.67,66.67,58.33,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",medium-duration,1,,,,,natural,,,,,,
dvps,2016,,5615,6.1,depressional,vernal pool system,vernal pool system,8,124,,Safeway Pools - Roseville Preserve #12,,,,5/9/16,11/27/16 10:00,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,,,,,-121.29205,38.77832,0.21693,Placer,sacramento valley,,1,1,68,67.25,91.67,58.33,54.17,,,,,,,,,,,,,,,,,,,portion of the wetland,dry,short-duration,0,,,,,,,,,,,
dvps,2016,,5616,6.1,depressional,vernal pool system,vernal pool system,8,124,,Warm Springs - Pasture 2,,,,4/15/16,11/27/16 10:18,54:27.8,"Cara Clark (lead practitioner), Debra Sykes (other practitioner)",,,,,,-121.97453,37.48523,2.76462,Alameda,bay/delta,,1,1,85,93.29,100,83.33,62.5,,,,,,,,,,,,,,,,,,,,ponded/inundated,medium-duration,0,,,,,natural,,,,,,
dvps,2016,,5617,6.1,depressional,vernal pool system,vernal pool system,8,124,,Warm Springs - Pasture 7,,,,4/15/16,11/27/16 10:33,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,,,,,-121.95692,37.49775,3.39622,Alameda,bay/delta,,1,1,74,75,75,75,70.83,,,,,,,,,,,,,,,,,,,entire wetland,ponded/inundated,medium-duration,0,,,,,,,,,,,
dvps,2016,,5618,6.1,depressional,vernal pool system,vernal pool system,8,124,,Lazy K #2,,,,4/13/16,11/27/16 10:48,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,,,,,-120.11726,37.1699,0.61676,Merced,san joaquin valley,,1,1,83,93.29,100,75,62.5,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",medium-duration,0,,,,,natural,,,,,,
dvps,2016,,5619,6.1,depressional,vernal pool system,vernal pool system,8,124,,Lazy K East,,,,4/13/16,11/27/16 20:25,54:27.8,"Cara Clark (lead practitioner), John Vollmar (other practitioner)",,other,,,,-120.11356,37.16983,1.57342,Merced,san joaquin valley,,1,1,77,93.29,100,66.67,50,,,,,,,,,,,,,,,,,,,,ponded/inundated,medium-duration,0,,,,,natural,,,,,,
