ObjectID,GlobalID,Monitoring Date,Monitor Names,Vernal Pool?,Vernal Pool Name or Number,Vernal Pool Axis,Project Site,Unlisted Project Site,Lagoon Transect Name/Number,Unlisted Lagoon Transect Name/Number,NCOS Transect Name/Number,NP Transect Name/Number,Unlisted NP Transect Name/Number,Transect Name/Number,Total Transect Length,Transect Start Time,Transect Finish Time,Transect Notes,Transect Distance of Quadrat,Side of Transect (Left or Right),Vernal Pool Zone,Quadrat Notes (Optional),Percent Bare Ground,Percent Natural Thatch,Percent Mowed/Trimmed Thatch,Thatch Notes (Optional),Count of Native Species,Sum of Native Cover,Count of Non-Native Species,Sum of Non-Native Cover,Count of Unknown Species,Sum of Unknown Cover,Sum of Thatch,Sum of Other Cover,Bare Ground,SUM of ALL COVER,CreationDate,Creator,EditDate,Editor,x,y
3595,27b98f16-c859-4d9f-bc6f-af231e696552,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,,,,42,Left,bottom,,0,99,0,,3,4,3,68,0,0,99,99,0,270,5/16/2023 12:07:19 AM,ccber_user,5/16/2023 12:07:19 AM,ccber_user,-119.8852864,34.416297
3596,1412025e-7dde-4d27-aee8-947ff9f2be65,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,24,Right,bottom,,0,99,0,,4,16,1,8,0,0,99,98,0,221,5/16/2023 1:43:46 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 4:05:24 PM,joannatang@umail.ucsb.edu_ucsb,-119.885099873225,34.4163414228768
3597,b850341d-abc6-4829-8223-8e7caa43cb9a,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,28,Right,bottom,,0,99,0,,2,24,4,3,0,0,99,98,0,224,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 4:04:47 PM,joannatang@umail.ucsb.edu_ucsb,-119.885027568485,34.4163726492894
3598,afc1a39d-1fa2-429d-b926-9cb85e272800,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,30,Right,bottom,,0,99,0,,2,12,2,16,0,0,99,98,0,225,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 4:04:25 PM,joannatang@umail.ucsb.edu_ucsb,-119.88503080353,34.4162865439119
3599,dfa229f3-3a13-4182-9675-90fd2f155193,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,36,Right,bottom,,8,31,0,,3,24,4,20,0,0,31,31,8,114,5/16/2023 1:44:08 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 4:03:37 PM,joannatang@umail.ucsb.edu_ucsb,-119.884862036111,34.4162172248059
3600,76c82cac-d7bb-41a3-808f-fabe50c87ac7,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,40,Right,transition,,0,99,0,,3,15,4,35,0,0,99,98,0,247,5/16/2023 1:44:15 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 6:26:39 PM,joannatang@umail.ucsb.edu_ucsb,-119.884886515166,34.416179937203
3601,0303724e-9668-4d63-859e-3fae6421bacb,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,44,Right,edge,,1,98,0,,1,1,2,1,0,0,98,0,1,101,5/16/2023 1:44:24 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 4:01:51 PM,joannatang@umail.ucsb.edu_ucsb,-119.885096010899,34.4162689361186
3602,463c662e-d787-4c9d-836e-effaae0abb15,5/15/2023 7:00:00 PM,"Joanna Tang, Johnny Alonzo",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,Phalaris lemmonii also in pool,46,Left,edge,,0,11,0,,1,1,5,101,0,0,11,0,0,113,5/16/2023 1:44:31 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 6:26:05 PM,joannatang@umail.ucsb.edu_ucsb,-119.884994463916,34.4162195810661
3603,c7b49110-9f73-43c5-8a74-867c7d18d5b1,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,2,Right,transition,,0,62,0,,1,1,3,60,0,0,62,38,0,161,5/16/2023 6:54:26 PM,ccber_user,5/16/2023 6:54:26 PM,ccber_user,-119.88487429,34.41638964
3604,76ba9b1c-ec61-4b31-9660-7eca78d117b5,5/15/2023 7:00:00 PM,"Joanna T, Johnny A",yes,1,major,UNLISTED,Ellwood Mesa,,,,,,,46,15:34,,,0,Right,edge,,0,34,0,,0,0,8,34,0,0,34,66,0,134,5/16/2023 6:54:29 PM,ccber_user,5/16/2023 6:54:29 PM,ccber_user,-119.88487284,34.41639479
