ObjectID,GlobalID,Non_Native Species,Unlisted Non-Native Species,Non-Native Species Percent Cover,Non-Native Species Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
10945,27b5422e-d1dc-4e71-9485-4f2d82040e19,Lythrum_hyssopifolia,,1,,27b98f16-c859-4d9f-bc6f-af231e696552,5/16/2023 12:07:19 AM,ccber_user,5/16/2023 12:07:19 AM,ccber_user
10946,4ae418c5-0b89-49c9-84a7-6bd183d0799d,Festuca_perennis,,60,,27b98f16-c859-4d9f-bc6f-af231e696552,5/16/2023 12:07:19 AM,ccber_user,5/16/2023 12:07:19 AM,ccber_user
10947,956593e7-d3b1-4561-a451-24358cde77f6,Rumex_crispus,,7,,27b98f16-c859-4d9f-bc6f-af231e696552,5/16/2023 12:07:19 AM,ccber_user,5/16/2023 12:07:19 AM,ccber_user
10948,bd2876c5-967a-4a2a-9585-c32cad5716bc,Rumex_crispus,,8,,1412025e-7dde-4d27-aee8-947ff9f2be65,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb
10949,5c7e8931-080d-4361-85a7-e9d7724bcfb0,Rumex_crispus,,0,,b850341d-abc6-4829-8223-8e7caa43cb9a,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb
10950,49b1fbb5-b0bc-448e-b819-2e279537e088,Festuca_perennis,,1,,b850341d-abc6-4829-8223-8e7caa43cb9a,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb
10951,a585c64a-0ee2-4cec-895b-c82786602082,Sonchus_asper,,1,,b850341d-abc6-4829-8223-8e7caa43cb9a,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb
10952,4a6acd95-965f-4ca7-9689-f6c143c260fa,Lythrum_hyssopifolia,,1,,b850341d-abc6-4829-8223-8e7caa43cb9a,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb
10953,8c1c104c-ae19-4ece-88e2-a0ad5f0bfe2a,Rumex_crispus,,15,,afc1a39d-1fa2-429d-b926-9cb85e272800,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb
10954,e366a42b-b915-4fb6-a3c9-11acfd89a3f6,Festuca_perennis,,1,,afc1a39d-1fa2-429d-b926-9cb85e272800,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb
10955,aae367a0-d075-4bac-9a4a-6151ff95a28d,Rumex_crispus,,17,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
10956,073c44e3-8f37-48dc-b81c-4427102fe3e3,Lythrum_hyssopifolia,,1,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
10957,8c0ab59a-42ee-457a-a824-36723e20fba2,Crypsis_schoenoides,,1,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
10958,6ec2fc6d-c63b-4cba-9909-4291b4ce51ca,Sonchus_asper,,1,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
10959,476fda3b-29e1-466d-91cd-2ae922a1a98c,Rumex_crispus,,22,,76c82cac-d7bb-41a3-808f-fabe50c87ac7,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb
