Location (AA ID),Pool_ID (AA Name),unique_pool_id,Project Name (optional),Project ID #,AA (500m) North Transect % crossing aquatic area,AA (500m) East Transect % crossing aquatic area,AA (500m) South Transect % crossing aquatic area,AA (500m) West Transect % crossing aquatic area,Average Transect # crossing aquatic area,"1.1: AA Abundance (A = 31-100%, B = 21-30%, C = 11-20%, D = 0-10%)","1.2A: Percent of AA with 5m Buffer (A = 75-100%, B - 50-74%, C = 25-49%, D = 1-24%)",Buffer Transect A (<250m),Buffer Transect B (<250m),Buffer Transect C (<250m),Buffer Transect D (<250m),Buffer Transect E (<250m),Buffer Transect F (<250m),Buffer Transect G (<250m),Buffer Transect H (<250m),Average Buffer Width (m),"1.2B: Average Buffer Width (A = 190-250m, B = 130-189m, C = 65-129m, D = 0-64m)",,,SYSTEM AA Long Axis Transect Length (m),SYSTEM AA Long Axis Transect Length Crossing Pool or Swale (m),SYSTEM AA Short Axis Transect Length (m),SYSTEM AA Short Axis Transect Length Crossing Pool or Swale (m),SYSTEM Pool and Swale Density (%),"SYSTEM 3.2: Pool and Swale Density (A = 36-100%, B = 26-35%, C = 16-25%, D = 0-15%)",Datum,Attribute 1 Final Score,Attribute 2 Final Score,SYSTEM Topographic Complexity Average,Attribute 3 Final Score,SYSTEM Zonation Average,Attribute 4 Final Score,Overall AA Score,Notes
West Campus Bluffs,10,west_campus10,,,32.47,6.11,67.17,85.8,47.8875,12,12,250,9.28,8.91,16.37,250,250,250,250,160.57,9,,,,,,,#DIV/0!,,,82.92,100,,37.5,,54.17,69,
West Campus Bluffs,11,west_campus11,,,65.97,15.6,54.44,88.03,56.01,12,12,250,57.91,61.79,250,250,250,250,250,202.4625,12,,,,,,,,,,100,100,,37.5,,54.17,73,
West Campus Bluffs,8,west_campus8,,,76.55,7.34,66.38,60.78,52.7625,12,12,250,86.83,250,250,250,250,250,250,229.60375,12,,,,,,,,,,100,100,,50,,66.67,79,
West Campus Bluffs,9,west_campus9,,,65.06,6.07,68.63,72.39,53.0375,12,12,250,9.26,250,250,250,250,250,250,219.9075,12,,,,,,,,,,85.38,100,,50,,29.17,66,
West Campus Bluffs,6,west_campus6,,,28.84,24.22,99.56,9.26,40.47,12,12,81.3,115.65,250,250,250,250,250,97.94,193.11125,12,,,,,,,,,,85.38,100,,62.5,,87.5,84,
West Campus Bluffs,7,west_campus7,,,31.78,56.19,97.75,28.23,53.4875,12,12,20.27,37.06,250,250,250,250,66.85,50.18,146.795,9,,,,,,,,,,82.92,100,,25,,25,58,
West Campus Bluffs,4,west_campus4,,,22.08,35.3,93.07,27.39,44.46,12,12,151.65,203.44,250,250,250,250,250,83.22,211.03875,12,,,,,,,,,,85.38,100,,62.5,,83.33,83,
West Campus Bluffs,5,west_campus5,,,17.75,52.51,87.86,33.75,47.9675,12,12,134.18,227.69,250,250,250,250,60.4,38.44,182.58875,9,,,,,,,,,,,,,,,,,
West Campus Bluffs,1,west_campus1,,,15.92,6.03,74.76,15.46,28.0425,9,12,65.85,103.6,77.45,114.38,250,250,250,136,155.91,9,,,,,,,,,,82.92,100,,50,,91.67,81,
West Campus Bluffs,2,west_campus2,,,16.2,6.05,79.08,6.17,26.875,9,12,25.78,57.19,141.59,250,250,250,217.8,81.37,159.21625,9,,,,,,,,,,82.92,100,,25,,29.17,59,
West Campus Bluffs,3,west_campus3,,,30.17,18.42,79.37,59.81,46.9425,12,12,93.46,159.71,143.81,250,250,250,250,228.68,203.2075,12,,,,,,,,,,85.38,100,,25,,33.33,61,
North Parcel,8,north_parcel8,,,13.66,13.27,25.22,24.41,19.14,6,12,45.95,7.62,15.05,17.75,14.8,21.39,74.83,68.63,33.2525,3,,,,,,,,,,62.5,100,,75,,83.33,80,
North Parcel,7,north_parcel7,,,8.86,18.37,24.56,15.92,16.9275,6,12,51.75,25.55,30.75,43.99,17.75,21.02,46.83,51.84,36.185,3,,,,,,,,,,62.5,100,,75,,66.67,76,
North Parcel,6,north_parcel6,,,6.02,25.03,29.61,21.8,20.615,9,12,33.09,68.33,75.56,30.55,12.86,11.19,15.13,28.11,34.3525,3,,,,,,,,,,75,100,,37.5,,66.67,70,
North Parcel,10,north_parcel10,,,6.04,10.41,44.13,12.31,18.2225,6,12,5.93,23.13,8.5,5.1,55.56,4.25,2.48,10.22,14.39625,3,,,,,,,,,,72.88,83.33,,75,,62.5,73,
North Parcel,11,north_parcel11,,,10.6,9.94,63.3,21.92,26.44,9,12,5.02,5.55,5.64,5.81,13.12,7.81,5.14,6.16,6.78125,3,,,,,,,,,,80.63,91.67,,50,,41.67,66,
North Parcel,9,north_parcel9,,,16.52,9.32,46.29,22.49,23.655,9,12,18.58,250,234.09,149.03,12.86,23.68,14.96,11.79,89.37375,6,,,,,,,,,,79.75,91.67,,62.5,,79.17,78,
North Parcel,12,north_parcel12,,,20.66,16.89,60.46,41.03,34.76,12,12,20.79,250,184.63,121.83,60.27,24.58,14.45,19.64,87.02375,6,,,,,,,,,,86.42,100,,75,,62.5,81,
North Parcel,14,north_parcel14,,,6.15,31.31,31.93,24.89,23.57,9,12,232.04,201.07,84.65,49.12,74.35,50.18,44.55,49.54,98.1875,6,,,,,,,,,,86.42,83.33,,37.5,,79.17,72,
North Parcel,13,north_parcel13,,,49.14,38.3,39.85,10.03,34.33,12,12,62.47,236.83,128.46,45.95,11.17,25.4,14.22,5.81,66.28875,6,,,,,,,,,,86.42,83.33,,75,,79.17,81,
North Parcel,15,north_parcel15,,,32.56,38.56,34.61,13.02,29.6875,9,12,250,103.66,12.61,8.91,9.82,12.27,10.38,9.39,52.13,3,,,,,,,,,,80.63,66.67,,37.5,,79.17,66,
North Parcel,16,north_parcel16,,,13.23,34.65,26.93,19.55,23.59,9,12,223.92,65.02,106.8,17.75,13.95,50.78,26.32,65.91,71.30625,6,,,,,,,,,,86.42,91.67,,37.5,,62.5,70,
North Parcel,17,north_parcel17,,,6.12,26.26,15.72,29.81,19.4775,6,12,250,151.57,69.75,14.47,10.78,39.59,118.87,127.66,97.83625,6,,,,,,,,,,73.92,100,,37.5,,79.17,73,
North Parcel,4,north_parcel4,,,17.73,23.93,17.75,30.51,22.48,9,12,20.01,19.2,15.52,18.66,39.86,57.92,28.1,18.47,27.2175,3,,,,,,,,,,80.63,75,,37.5,,75,67,
North Parcel,3,north_parcel3,,,9.75,23.91,13.72,29.14,19.13,6,12,35.09,47.17,27.34,20.86,21.64,41.48,36.34,30.12,32.505,3,,,,,,,,,,68.13,75,,50,,79.17,68,
North Parcel,5,north_parcel5,,,6.11,30.32,14.61,26.35,19.3475,6,12,16.25,34.8,48.88,33.37,23.76,20.05,15.54,11.7,25.54375,3,,,,,,,,,,68.13,100,,50,,75,73,
North Parcel,2,north_parcel2,,,6,35.52,9.57,15.13,16.555,6,6,1.48,1.23,1.69,1.21,250,1.13,1.69,1.48,32.48875,3,,,,,,,,,,63.25,83.33,,50,,66.67,66,
North Parcel,1,north_parcel1,,,6,41.91,12.09,9.26,17.315,6,9,0.35,0.07,0.1,0.07,1.61,162,250,250,83.025,6,,,,,,,,,,71.38,83.33,,50,,66.67,68,
North Parcel,18,north_parcel18,,,9.05,9.12,38.77,60.83,29.4425,9,12,83.42,96.95,74.67,132.38,32.88,19.76,25.47,71,67.06625,6,,,,,,,,,,86.42,91.67,,50,,79.17,77,
North Parcel,19,north_parcel19,,,24.08,9.15,34.27,24.76,23.065,9,12,106,66.79,63.8,250,250,11.31,3.49,3.97,94.42,6,,,,,,,,,,86.42,83.33,,62.5,,83.33,79,
North Parcel,Phase 1,north_parcelph1,,,6,6,25.2,43.26,20.115,6,12,12.07,13.61,15.37,24.4,250,108.65,69.07,14.54,63.46375,3,,,,,,,,,,68.13,91.67,,75,,83.33,80,
Storke Ranch,Main,unlistedmain,,,6.02,35.49,6.01,30.59,19.5275,6,12,34.84,39.11,193,46.19,24.09,29.4,18.53,46.15,53.91375,3,,,,,,,,,,67.25,100,,50,,58.33,69,
Storke Ranch,East,unlistedeast,,,6,33.43,42.17,50.37,32.9925,12,12,27.72,75.29,113.33,60.54,37.51,139.24,193.69,170.06,102.1725,6,,,,,,,,,,86.42,100,,62.5,,79.17,82,
